a,z,Gamma,H,rho_A,rho_B,Omega_A,Omega_B,w_dark,w_B_eff,D,f
0.00010000000000000009,9998.99999999999,0.0,74877729.10111041,264899983123.95435,0.685708,0.21463294988329548,5.555890531322046e-13,-2.5885543362883585e-12,-1.0,0.0002414594626446199,1.0
0.00010077112648825889,9922.477436927458,0.0,73808487.43435265,258865152003.89426,0.685708,0.21586427453703247,5.718029592566121e-13,-2.6489003818786243e-12,-1.0,0.0002433160999427757,0.9943245552984483
0.00010154819933712645,9846.540444120863,0.0,72754923.24623005,252967803665.89597,0.685708,0.21710022292818762,5.884834255835038e-13,-2.7106532533435814e-12,-1.0,0.0002451764229645042,0.9887532092181937
0.00010233126440056487,9771.184540646407,0.0,71716802.50307988,247204806039.64905,0.685708,0.21834078447885533,6.056436565372185e-13,-2.773845747513977e-12,-1.0,0.0002470404924096821,0.9832825358875994
0.0001031203678861276,9696.405279859619,0.0,70693894.70173588,241573098408.2519,0.685708,0.21958594825879255,6.232972230797729e-13,-2.8385114258013363e-12,-1.0,0.00024890836865915826,0.9779105705455343
0.00010391555635768725,9622.198249142839,0.0,69685972.81598398,236069689782.6615,0.685708,0.2208357029839373,6.414580726611841e-13,-2.9046846320224677e-12,-1.0,0.0002507801126447929,0.9726354028574572
0.00010471687673818289,9548.559069644887,0.0,68692813.24383444,230691657313.18903,0.685708,0.22209003701496838,6.601405394331671e-13,-2.9724005106393534e-12,-1.0,0.00025265578585304335,0.9674551750118304
0.00010552437631238814,9475.483396022726,0.0,67714195.75559564,225436144737.18365,0.685708,0.22334893835590933,6.793593547330247e-13,-3.041695025424257e-12,-1.0,0.00025453545032856124,0.9623680798948345
0.00010633810272970286,9402.966916184929,0.0,66749903.44273515,220300360862.06833,0.685708,0.2246123946527812,6.991296578447342e-13,-3.1126049785601235e-12,-1.0,0.0002564191686778134,0.9573723593396244
0.00010715810400696326,9331.00535103737,0.0,65799722.667521544,215281578082.9525,0.685708,0.22588039319229714,7.194670070442446e-13,-3.185168030186021e-12,-1.0,0.00025830700407271693,0.9524663024466181
0.00010798442853127686,9259.594454230572,0.0,64863443.0134283,210377130933.99698,0.685708,0.22715292090060857,7.403873909364336e-13,-3.259422718398497e-12,-1.0,0.00026019902025429213,0.9476482439714671
0.00010881712506287623,9188.730011909287,0.0,63940857.23629524,205584414672.79938,0.685708,0.2284299643420949,7.619072400910629e-13,-3.3354084797189545e-12,-1.0,0.0002620952815363382,0.9429165627775329
0.00010965624273799758,9118.407842463715,0.0,63031761.21622907,200900883897.0125,0.685708,0.22971150971820578,7.840434389855552e-13,-3.41316567003843e-12,-1.0,0.00026399585280912084,0.9382696803499009
0.00011050183107177965,9048.623796282807,0.0,62135953.910237476,196324051192.48965,0.685708,0.23099754286634985,8.068133382623395e-13,-3.4927355860504813e-12,-1.0,0.0002659007995430858,0.9337060593680655
0.00011135393996118493,8979.373755509449,0.0,61253237.305582985,191851485812.2267,0.685708,0.23228804925883395,8.302347673088777e-13,-3.5741604871837222e-12,-1.0,0.00026781018779258357,0.9292242023346318
0.00011221261968794542,8910.65363379736,0.0,60383416.37384401,187480812385.3899,0.685708,0.23358301400185577,8.543260471686879e-13,-3.657483618045855e-12,-1.0,0.0002697240841996204,0.92482265025745
0.00011307792092152807,8842.459376070094,0.0,59526299.02567731,183209709655.76904,0.685708,0.2348824218345435,8.791060037917021e-13,-3.742749231390649e-12,-1.0,0.00027164255599762365,0.9204999813827975
0.00011394989472212632,8774.786958281622,0.0,58681696.066264644,179035909248.95496,0.685708,0.23618625712805286,9.045939816328115e-13,-3.830002611620642e-12,-1.0,0.00027356567101522654,0.9162548099773028
0.00011482859254367144,8707.632387179015,0.0,57849421.15144016,174957194467.61795,0.685708,0.23749450388471174,9.3080985760731e-13,-3.919290098837445e-12,-1.0,0.0002754934976800769,0.9120857851564279
0.00011571406623687046,8640.991700066676,0.0,57029290.744481176,170971399114.2165,0.685708,0.23880714573722442,9.577740554125493e-13,-4.010659113453043e-12,-1.0,0.0002774261050226592,0.9079915897574752
0.0001166063680522641,8574.860964572625,0.0,56221124.07355908,167076406340.5414,0.685708,0.24012416594792385,9.855075602249477e-13,-4.104158181374514e-12,-1.0,0.00027936356268014296,0.9039709392551221
0.00011750555064331143,8509.236278416362,0.0,55424743.08983389,163270147523.45547,0.685708,0.24144554740808508,1.0140319337821299e-12,-4.199836959776195e-12,-1.0,0.00028130594090024496,0.9000225807176547
0.00011841166706949636,8444.113769178633,0.0,54639972.426187746,159550601166.25433,0.685708,0.24277127263729023,1.0433693298598501e-12,-4.297746263472452e-12,-1.0,0.0002832533105451184,0.8961452918021056
0.00011932477079945786,8379.48959407298,0.0,53866639.3565855,155915791825.05618,0.685708,0.24410132378285057,1.0735425101538176e-12,-4.3979380919052536e-12,-1.0,0.0002852057430952553,0.8923378797866358
0.00012024491571414658,8315.359939718865,0.0,53104573.75605123,152363789059.64124,0.685708,0.24543568261928816,1.1045748605768043e-12,-4.50046565676114e-12,-1.0,0.00028716331065341673,0.8885991806385473
0.00012117215611000261,8251.721021916777,0.0,52353608.06125561,148892706408.20547,0.685708,0.24677433054787104,1.1364904079814223e-12,-4.605383410231656e-12,-1.0,0.000289126085948579,0.8849280581164197
0.00012210654670216113,8188.569085424813,0.0,51613577.23169946,145500700385.45782,0.685708,0.24811724859621215,1.169313837319616e-12,-4.712747073933e-12,-1.0,0.00029109414233990146,0.8813234029049176
0.0001230481426276794,8125.900403737198,0.0,50884318.71149001,142185969503.55505,0.685708,0.249464417417921,1.2030705092497244e-12,-4.822613668499468e-12,-1.0,0.00029306755382071985,0.8777841317808822
